CPU: Intel Sandy Bridge microarchitecture, speed 2493.76 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
Counted mem_load_uops_misc_retired events (Memory load uops retired) with a unit mask of 0x02 (No unit mask) count 100000
Counted LLC_MISSES events (Last level cache demand requests from this core that missed the LLC) with a unit mask of 0x41 (No unit mask) count 100000
samples  %        samples  %        samples  %        image name               symbol name
1731      0.0955  92        0.1105  31        0.0717  vmlinux                  xfrm_audit_state_icvfail
1710      0.0944  62        0.0745  22        0.0509  vmlinux                  d_invalidate
1705      0.0941  73        0.0877  32        0.0741  vmlinux                  convert_context
1700      0.0938  77        0.0925  32        0.0741  vmlinux                  find_oprom
1695      0.0935  69        0.0829  38        0.0879  libpthread-2.12.so       pthread_mutex_lock
1695      0.0935  55        0.0661  42        0.0972  vmlinux                  calc_period_shift
1692      0.0934  87        0.1045  49        0.1134  libjvm.so                frame::is_interpreted_frame() const
1688      0.0932  51        0.0613  42        0.0972  vmlinux                  free_dmar_iommu
1687      0.0931  48        0.0577  45        0.1041  libjvm.so                Matcher::xform(Node*, int)
1674      0.0924  64        0.0769  40        0.0926  nf_defrag_ipv4           /nf_defrag_ipv4
1671      0.0922  52        0.0625  25        0.0579  libc-2.12.so             __epoll_wait_nocancel
1660      0.0916  112       0.1346  41        0.0949  vmlinux                  d_kill
1659      0.0916  70        0.0841  15        0.0347  libjvm.so                SharedRuntime::complete_monitor_locking_C(oopDesc*, BasicLock*, JavaThread*)
1659      0.0916  69        0.0829  39        0.0903  vmlinux                  __do_page_cache_readahead
1657      0.0914  57        0.0685  26        0.0602  vmlinux                  syscall_unregfunc
1654      0.0913  72        0.0865  32        0.0741  vmlinux                  pcie_config_aspm_path
1650      0.0911  75        0.0901  28        0.0648  libpthread-2.12.so       read
1649      0.0910  73        0.0877  33        0.0764  vmlinux                  ipv4_negative_advice
1647      0.0909  89        0.1069  37        0.0856  vmlinux                  inet_gro_receive
1643      0.0907  86        0.1033  41        0.0949  libjvm.so                Method::bci_from(unsigned char*) const
1626      0.0897  74        0.0889  34        0.0787  vmlinux                  init_exit__pwritev
1618      0.0893  71        0.0853  45        0.1041  vmlinux                  get_cpu_itimer
1618      0.0893  61        0.0733  30        0.0694  vmlinux                  trailer_rcv
1616      0.0892  64        0.0769  20        0.0463  vmlinux                  simd_math_error
1608      0.0887  79        0.0949  32        0.0741  vmlinux                  ftrace_profile_mm_vmscan_kswapd_wake
1602      0.0884  74        0.0889  32        0.0741  vmlinux                  fib4_rule_configure
1579      0.0871  69        0.0829  40        0.0926  vmlinux                  sys_reboot
1577      0.0870  64        0.0769  32        0.0741  libnio.so                fdval
1576      0.0870  75        0.0901  32        0.0741  libjava.so               handleWrite
1547      0.0854  69        0.0829  32        0.0741  vmlinux                  constraint_expr_eval
1540      0.0850  57        0.0685  26        0.0602  vmlinux                  init_exit__lseek
1539      0.0849  64        0.0769  33        0.0764  vmlinux                  tc_fill_tclass
1538      0.0849  61        0.0733  24        0.0555  vmlinux                  max_sane_readahead
1528      0.0843  72        0.0865  40        0.0926  vmlinux                  fib_select_multipath
1525      0.0842  61        0.0733  23        0.0532  vmlinux                  inet_dev_addr_type
1522      0.0840  57        0.0685  29        0.0671  vmlinux                  tracing_set_tracer
1521      0.0839  63        0.0757  30        0.0694  libjvm.so                java_lang_Throwable::fill_in_stack_trace(Handle, methodHandle)
1515      0.0836  80        0.0961  39        0.0903  vmlinux                  ftrace_define_fields_mm_vmscan_writepage
1501      0.0828  75        0.0901  33        0.0764  vmlinux                  __pim_rcv.clone.0
1490      0.0822  108       0.1298  55        0.1273  libc-2.12.so             __GI_memset
1487      0.0821  56        0.0673  27        0.0625  vmlinux                  dget_locked
1480      0.0817  73        0.0877  27        0.0625  vmlinux                  block_invalidatepage
1480      0.0817  62        0.0745  24        0.0555  vmlinux                  do_wp_page
1480      0.0817  44        0.0529  30        0.0694  vmlinux                  domain_exit
1479      0.0816  68        0.0817  32        0.0741  ebtable_nat              /ebtable_nat
1476      0.0815  84        0.1009  32        0.0741  libjvm.so                CodeBlob::is_zombie() const
1476      0.0815  57        0.0685  40        0.0926  vmlinux                  dentry_iput
1471      0.0812  90        0.1081  48        0.1111  vmlinux                  tracing_buffers_splice_read
1455      0.0803  71        0.0853  29        0.0671  vmlinux                  xfrm_state_find
1453      0.0802  61        0.0733  25        0.0579  vmlinux                  init_exit__gettimeofday
1451      0.0801  58        0.0697  40        0.0926  vmlinux                  nr_context_switches
1450      0.0800  66        0.0793  19        0.0440  vmlinux                  sysret_careful
1445      0.0797  60        0.0721  52        0.1203  vmlinux                  ip_rt_dump
1438      0.0794  47        0.0565  21        0.0486  vmlinux                  futex_lock_pi
1435      0.0792  73        0.0877  19        0.0440  vmlinux                  dquot_scan_active
1428      0.0788  64        0.0769  33        0.0764  vmlinux                  init_exit__stime
1416      0.0781  63        0.0757  34        0.0787  vmlinux                  c1e_idle
1411      0.0779  58        0.0697  33        0.0764  vmlinux                  ftrace_profile_sched_kthread_stop
1411      0.0779  72        0.0865  23        0.0532  vmlinux                  inet_dgram_connect
